Nutrient,BL,W10,d.value,q.value
Animal Protein (g),45.4+/-18.9,58.3+/-20.1,3.442909386835722,0.01485269136326942
Added Sugars (by Total Sugars) (g),37.7+/-17.5,50+/-19.1,NA,NA
Alpha-Carotene (provitamin A carotenoid) (mcg),632.3+/-785.3,456.4+/-566,NA,NA
Beta-Carotene (provitamin A carotenoid) (mcg),4876.1+/-3673.7,4465.6+/-2331.8,NA,NA
Beta-Cryptoxanthin (provitamin A carotenoid) (mcg),383.4+/-737.4,345.3+/-684.8,NA,NA
Calcium (mg),783.7+/-253.5,927.5+/-283.8,NA,NA
Cholesterol (mg),238.5+/-134.8,252.7+/-128.2,NA,NA
Energy (kcal),1801.1+/-437.9,1656.8+/-292.9,NA,NA
Insoluble Dietary Fiber (g),13.9+/-5.1,14.2+/-7.1,NA,NA
Iron (mg),11.6+/-2.4,10.8+/-2.9,NA,NA
Lutein + Zeaxanthin (mcg),2281.9+/-1873.4,3868.5+/-3240,NA,NA
Lycopene (mcg),2072.3+/-2152.5,1976.1+/-3023.9,NA,NA
Magnesium (mg),306.9+/-99.1,320.2+/-98.2,NA,NA
Pectins (g),2.9+/-1,3.4+/-1.5,NA,NA
Potassium (mg),2602.6+/-618.3,2822.8+/-803.9,NA,NA
Refined Grains (ounce equivalents),4.5+/-2.5,2.5+/-1.7,NA,NA
Sodium (mg),2534.6+/-798.2,2532.8+/-557.2,NA,NA
Soluble Dietary Fiber (g),6.7+/-2.4,6.2+/-2.7,NA,NA
Total Carbohydrate (g),205.3+/-54.3,188.6+/-46.9,NA,NA
Total Dietary Fiber (g),21.3+/-7.3,20.6+/-9.5,NA,NA
Total Fat (g),72.3+/-20.5,64.2+/-18,NA,NA
Total Grains (ounce equivalents),6.1+/-2,4+/-1.6,NA,NA
Total Monounsaturated Fatty Acids (MUFA) (g),27+/-7.4,23.4+/-6.6,NA,NA
Total Polyunsaturated Fatty Acids (PUFA) (g),17.4+/-6.4,14.1+/-6.9,NA,NA
Total Protein (g),74.1+/-21,81.2+/-18.2,NA,NA
Total Saturated Fatty Acids (SFA) (g),21.9+/-8.4,21.1+/-7.5,NA,NA
Total Sugars (g),78.7+/-27.4,93.2+/-28.3,NA,NA
Vegetable Protein (g),28.7+/-9.1,22.9+/-9.1,NA,NA
Vitamin C (ascorbic acid) (mg),92+/-60.2,107.1+/-51.7,NA,NA
Vitamin K (phylloquinone) (mcg),150+/-84.9,215.4+/-145.3,NA,NA
Whole Grains (ounce equivalents),1.6+/-1.6,1.5+/-1,NA,NA
