"","Kingdom","Phylum","Class","Order","Family","Genus","CottageCheese","Gutshots","Kefir","Kimchi","Kombucha","Sauerkraut","Yogurt"
"1","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium",0,1864,0,650,0,0,0
"2","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides",0,0,0,871,1153,0,0
"3","k__Bacteria","p__Cyanobacteria","c__Chloroplast","o__Streptophyta","f__","g__",0,412,3757,18159,1322,10216,7957
"4","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus",0,0,0,0,1530,0,454
"5","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae",NA,0,0,0,0,0,570,523
"6","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__",0,2266,744,4762,2879,5966,8519
"7","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus",2356,3267,18961,7784,10268,8015,18343
"8","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Pediococcus",0,3520,1484,1441,2229,2858,1815
"9","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Leuconostocaceae","g__Leuconostoc",0,300,852,3461,759,4090,6902
"10","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Leuconostocaceae","g__Weissella",0,0,0,0,0,0,559
"11","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Lactococcus",7601,590,0,0,10653,5627,541
"12","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus",8476,0,17725,2871,11459,10071,42466
"13","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Faecalibacterium",0,0,0,347,0,0,0
"14","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__mitochondria","g__Raphanus",0,0,978,5318,0,2335,2825
"15","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__mitochondria",NA,0,0,0,0,0,0,369
"16","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__Klebsiella",0,0,0,0,0,0,305
